position,Company,location,weblink,Job ID
 Full Stack DotNet Developer , Cynet Systems ," Indianapolis, IN, USA",https://www.dice.com/jobs/detail/full-stack-dotnet-developer-cynet-systems-indianapolis-in-46201/10516350/IN_STCK_0217?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : IN_STCK_0217
 C# .NET developer with Oracle 12c and Angular 5 or above**Locals only--Direct Client , InfoPeople Corp ," New York, NY, USA",https://www.dice.com/jobs/detail/c%23-.net-developer-with-oracle-12c-and-angular-5-or-above%2A%2Alocals-only%26%2345%26%2345direct-client-infopeople-corp-nyc-ny-10001/10186340/HN0002?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : HN0002
 Senior /Lead .Net Developer , InfiCare Technologies ," Lake St Louis, MO, USA",https://www.dice.com/jobs/detail/senior-%26%2347lead-.net-developer-inficare-technologies-lake-st-louis-mo-63367/10113809/2019%26%234521802?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 2019-21802
 Senior .Net Developer- Direct End Client ," GreyCell Labs, Inc "," New York, NY, USA",https://www.dice.com/jobs/detail/senior-.net-developer%26%2345-direct-end-client-greycell-labs%2C-inc-new-york-ny-10001/10212426/HBITS%26%234501%26%234510488?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : HBITS-01-10488
 .Net Developer/.Net Application Developer/Full Stack .Net Developer. ," VDart, Inc. "," Hartford, CT, USA",https://www.dice.com/jobs/detail/.net-developer%26%2347.net-application-developer%26%2347full-stack-.net-developer.-vdart%2C-inc.-hartford-ct-06101/10330808/2020%26%234520329?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6419586
 .Net Developer , Sapvix ," Allen, TX, USA",https://www.dice.com/jobs/detail/.net-developer-sapvix-allen-tx-75002/10350483/6419586?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6320453
 Sr .Net developer , Dutech Systems Inc ," Round Rock, TX, USA",https://www.dice.com/jobs/detail/sr-.net-developer-dutech-systems-inc-round-rock-tx-78664/9093468/6320453?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6398181
 .Net developer , VDeploy Consulting LLC ," Des Moines, IA, USA",https://www.dice.com/jobs/detail/.net-developer-vdeploy-consulting-llc-des-moines-ia-50301/91097320/6398181?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : dks.net
" .NET Developers in the location Johnston, RI "," NextXap, Inc. "," Johnston, RI 02919, USA",https://www.dice.com/jobs/detail/.net-developers-in-the-location-johnston%2C-ri-nextxap%2C-inc.-johnston-ri-02919/10360631/dks%26%23372Enet?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 2020-10243
 Sr. .Net Developer , Softsages LLC ," Arlington, VA, USA",https://www.dice.com/jobs/detail/sr.-.net-developer-softsages-llc-arlington-va-20598/90749562/2020%26%234510243?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6708067
 .Net Developer , Teamware Solutions ," Marlborough, MA, USA",https://www.dice.com/jobs/detail/.net-developer-teamware-solutions-marlborough-ma-01752/10501519/6708067?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 2020-10225
 Full Stack C# .Net Developer with healthcare experience , Softsages LLC ," Danville, PA 17821, USA",https://www.dice.com/jobs/detail/full-stack-c%23-.net-developer-with-healthcare-experience-softsages-llc-danville-pa-17821/90749562/2020%26%234510225?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6429289
" .Net Developer_Atlanta, GA (Face to Face interview Mandatory) "," DISYS - Digital Intelligence Systems, LLC "," Atlanta, GA, USA",https://www.dice.com/jobs/detail/.net-developer_atlanta%2C-ga-%28face-to-face-interview-mandatory%29-disys-%26%2345-digital-intelligence-systems%2C-llc-atlanta-ga-30301/10110693/6429289?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6429035
 Dot Net developer/Tech Lead , Sapvix ," Atlanta, GA, USA",https://www.dice.com/jobs/detail/dot-net-developer%26%2347tech-lead-sapvix-atlanta-ga-30301/10350483/6429035?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : UAL-9112
 Sr. .NET Developer , Myticas LLC ," Houston, TX, USA",https://www.dice.com/jobs/detail/sr.-.net-developer-myticas-llc-houston-tx-77001/adtechil/UAL%26%23459112?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6291629
 .Net Developer (In Person Interview in NYC) ," Svam International, Inc. "," New York, NY, USA",https://www.dice.com/jobs/detail/.net-developer-%28in-person-interview-in-nyc%29-svam-international%2C-inc.-new-york-ny-10001/svam/6291629?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6431827
" .NET Fullstack Developer in COlumbus, OH - 2 ", Comtech Global ," Columbus, OH, USA",https://www.dice.com/jobs/detail/.net-fullstack-developer-in-columbus%2C-oh-%26%2345-2-comtech-global-columbus-oh-43085/10220770/6431827?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6432096
 .Net Developer (CONTRACT TO HIRE) (In-Person Interview) , HCL Global Systems ," Alexandria, VA, USA",https://www.dice.com/jobs/detail/.net-developer-%28contract-to-hire%29-%28in%26%2345person-interview%29-hcl-global-systems-alexandria-va-22301/80122014/6432096?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6356308
" DotNet Developer (C#, Powershell) ", Auritas ," Redmond, WA, USA",https://www.dice.com/jobs/detail/dotnet-developer-%28c%23%2C-powershell%29-auritas-redmond-wa-98052/70000157/6356308?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 6357894
" .net Developer(with Facets)- Lynnwood, WA ", VASG (Vista Applied Solutions Group) ," Lynnwood, WA, USA",https://www.dice.com/jobs/detail/.net-developer%28with-facets%29%26%2345-lynnwood%2C-wa-vasg-%28vista-applied-solutions-group%29-lynnwood-wa-98036/10312910/6357894?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=2d2aa16e-17c8-479f-b9e2-f77c7e4f180f,Position Id : 5865647
 Senior .Net Developer , Xoriant Corporation ," Fort Worth, TX, USA",https://www.dice.com/jobs/detail/senior-.net-developer-xoriant-corporation-fort-worth-tx-07097/xorca001/5865647?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6407920
 .NET Developer , IDC Technologies ," Houston, TX, USA",https://www.dice.com/jobs/detail/.net-developer-idc-technologies-houston-tx-77001/10114879/6407920?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 6432648
 Full Stack .Net Developer (Mid level ) , Intellisoft Technologies ," Princeton, NJ, USA",https://www.dice.com/jobs/detail/full-stack-.net-developer-%28mid-level-%29-intellisoft-technologies-princeton-nj-08540/intelsft/6432648?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : ZT_DD
 .Net Developer , Applied Thought Auditors & Consultants Inc. ," Georgetown, KY 40324, USA",https://www.dice.com/jobs/detail/.net-developer-applied-thought-auditors-%26-consultants-inc.-georgetown-ky-40324/10468729/ZT_DD?searchlink=search%2F%3Fq%3D.net%2520developer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D2%26pageSize%3D20%26filters.postedDate%3DONE%26filters.employmentType%3DTHIRD_PARTY%26language%3Den&searchId=cd96c7ad-83ae-40f5-ba9d-181da344f691,Position Id : 15734-MPR
