position,Company,Location,link
.NET Developer (9077),Myticas Consulting,"Houston, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bt274jo0r_e0cCCqhskoQvohXG3bfDAo8rIdE-Msu3yuVfyF2oiDFKHFOU-vxVulBQSulkdCX2H7nS2mU677EQxhVbTEblMXzk9Q6wdMRH5jMhgtmMho6kBeG792flzHD7UfLKbE0-gdIKB01HMbnw5QjDQalgV5HqSnzfEOfNd2Jg7CskPD_BsISap0RiQySs39LPA_hVAGRz7P5SV6AwzZZPo7ebehi7Vdb7HeRZzQNTyMd9NHawUeEumZJXj8DVg_CcQmMKGGPXyguNJWI_356fS8QdhDqvHu23QarEM6AIhroNDAeZweaZkwVld1oS9T0UDx-slSP5AuSCyFnQACk7WtRIlkj2rVx1Mt9wiD_CO7KNXEna-plKm6of6RIhTDa92-ty9Ay1nwnVLWOR1mf9Ujd3AMb-LwUSnARHX_y4dEwKtVK4c_Ppo90xqrw=&p=0&fvj=0&vjs=3
Net Developer,Pernix,"Chandler, AZ",https://www.indeed.com/company/Pernix/jobs/Net-Developer-1caee7e6527b07af?fccid=9df0e2218cb9adfb&vjs=3
Net Developer,inficare technologies,"Redmond, WA",https://www.indeed.com/company/inficare-technologies/jobs/Net-Developer-d7776802269bf001?fccid=7fe260859cd0dd73&vjs=3
Net Developer,CEI,"Lakeland, FL",https://www.indeed.com/company/CEI/jobs/Net-Developer-73d241cdeeb1f269?fccid=15065544b51580a8&vjs=3
Lead Developer - .Net,Systemart LLC,"Tampa, FL",https://www.indeed.com/rc/clk?jk=22d460d409f989d3&fccid=f9dd3166cf821eca&vjs=3
Local to Richardson area ASP.NET Developer only on w2,softech business,"Richardson, TX",https://www.indeed.com/company/softech-business/jobs/Local-Area-ASP-Net-Developer-Only-W2-1808a2c998a37e80?fccid=c24c0c49d3bbce89&vjs=3
Dynamics 365/CRM Developer,TetraCloud Solutions Corp,"Atlanta, GA",https://www.indeed.com/company/TetraCloud-Solutions-Corp/jobs/Dynamic-Crm-Developer-82fca4570e5139bf?fccid=685dc4bd2e4438c4&vjs=3
.Net developer,Disys,"Atlanta, GA",https://www.indeed.com/company/Disys/jobs/Net-Developer-8b8d1363f23852a3?fccid=2be47f9e889e8845&vjs=3
Jr .Net Developer,Jefferson County Public School,"Lakewood, CO",https://www.indeed.com/company/Beacan/jobs/Junior-Net-Developer-71995af14cfefa33?fccid=d9cea0d13ea4eb7e&vjs=3
Sitecore Developer,Ignium Digital,"Portland, OR",https://www.indeed.com/company/Ignium-Digital/jobs/Sitecore-Developer-d5fcbd94cbd27f6c?fccid=4cf6d967c1c0341a&vjs=3
