Symbol,Name,Price,Change,% Change,Volume,Avg Vol(3 months),Market Cap
GE,General Electric Company,6.75,+0.65,+10.66%,252.671M,83.671M,59.085B
AAPL,Apple Inc.,112.13,-3.41,-2.95%,155.027M,170.538M,1.918T
INO,"Inovio Pharmaceuticals, Inc.",18.52,+4.89,+35.88%,110.909M,33.266M,3.102B
AAL,American Airlines Group Inc.,13.80,+0.66,+5.02%,75.459M,76.822M,6.95B
TSLA,"Tesla, Inc.",441.76,-8.00,-1.78%,72.547M,76.706M,411.636B
BAC,Bank of America Corporation,25.62,+0.34,+1.34%,64.623M,61.876M,221.974B
NIO,NIO Limited,19.01,-0.18,-0.94%,57.117M,135.04M,23.242B
OXY,Occidental Petroleum Corporation,11.64,+0.93,+8.68%,52.292M,25.448M,10.827B
WFC,Wells Fargo & Company,25.71,+0.83,+3.34%,51.599M,43.13M,106.142B
DKNG,DraftKings Inc.,51.03,+2.82,+5.85%,49.558M,15.588M,18.146B
NKLA,Nikola Corporation,33.28,+0.45,+1.37%,46.762M,25.133M,12.612B
F,Ford Motor Company,7.02,-0.02,-0.28%,45.529M,66.392M,27.928B
SRNE,"Sorrento Therapeutics, Inc.",8.36,+1.42,+20.46%,50.232M,40.851M,2.133B
C,Citigroup Inc.,46.02,+1.21,+2.70%,45.04M,23.1M,96.645B
CCL,Carnival Corporation & Plc,16.46,+0.53,+3.33%,38.084M,37.705M,14.528B
AMD,"Advanced Micro Devices, Inc.",76.66,-2.27,-2.88%,37.779M,61.139M,90.003B
MRO,Marathon Oil Corporation,4.5600,+0.2200,+5.07%,34.158M,25.452M,3.6B
SIRI,Sirius XM Holdings Inc.,5.40,+0.04,+0.75%,41.3M,25.057M,23.438B
UAL,"United Airlines Holdings, Inc.",38.30,+1.50,+4.08%,33.302M,44.853M,11.145B
XOM,Exxon Mobil Corporation,37.81,+1.54,+4.25%,28.987M,22.643M,159.869B
NOK,Nokia Corporation,4.1300,-0.0300,-0.72%,30.769M,32.773M,23.472B
T,AT&T Inc.,29.24,+0.12,+0.41%,30.505M,34.487M,208.335B
ADT,ADT Inc.,9.36,-1.44,-13.33%,32.653M,6.079M,7.211B
FB,"Facebook, Inc.",263.52,-8.90,-3.27%,29.208M,26.19M,750.721B
PCG,PG&E Corporation,9.79,+0.01,+0.10%,28.491M,26.015M,19.443B
WKHS,Workhorse Group Inc.,26.82,+1.47,+5.80%,27.967M,30.87M,2.82B
FCX,Freeport-McMoRan Inc.,16.78,+0.37,+2.25%,26.85M,20.03M,25.48B
SNAP,Snap Inc.,24.86,+0.39,+1.59%,26.759M,25.455M,36.525B
